Date,Time,HeartRate
2022-12-20,00:15:28,98
2022-12-20,00:15:28,96
2022-12-20,00:15:30,94
2022-12-20,00:15:30,93
2022-12-20,00:15:31,92
2022-12-20,00:15:33,92
2022-12-20,00:15:33,92
2022-12-20,00:15:34,92
2022-12-20,00:15:36,92
2022-12-20,00:15:36,92
2022-12-20,00:15:37,92
2022-12-20,00:15:38,92
2022-12-20,00:15:42,92
2022-12-20,00:15:42,91
2022-12-20,00:15:42,91
2022-12-20,00:15:43,93
2022-12-20,00:15:43,95
2022-12-20,00:15:44,96
2022-12-20,00:15:45,97
2022-12-20,00:15:46,97
2022-12-20,00:15:47,97
2022-12-20,00:15:48,97
2022-12-20,00:15:49,97
2022-12-20,00:15:50,97
2022-12-20,00:15:51,97
2022-12-20,00:15:52,98
2022-12-20,00:15:54,98
2022-12-20,00:15:54,98
2022-12-20,00:15:55,98
2022-12-20,00:15:57,97
2022-12-20,00:15:57,97
2022-12-20,00:15:58,97
2022-12-20,00:16:00,97
2022-12-20,00:16:00,97
2022-12-20,00:16:01,97
2022-12-20,00:16:03,97
2022-12-20,00:16:03,97
2022-12-20,00:16:04,97
2022-12-20,00:16:05,97
2022-12-20,00:16:06,97
2022-12-20,00:16:08,98
2022-12-20,00:16:08,98
2022-12-20,00:16:09,98
2022-12-20,00:16:11,99
2022-12-20,00:16:11,100
2022-12-20,00:16:12,100
2022-12-20,00:16:13,100
2022-12-20,00:16:14,100
2022-12-20,00:16:15,100
2022-12-20,00:16:18,100
2022-12-20,00:16:18,99
2022-12-20,00:16:18,99
2022-12-20,00:16:19,100
2022-12-20,00:16:20,100
2022-12-20,00:16:21,100
2022-12-20,00:16:22,100
2022-12-20,00:16:23,100
2022-12-20,00:16:24,100
2022-12-20,00:16:25,100
2022-12-20,00:16:26,100
2022-12-20,00:16:27,100
2022-12-20,00:16:28,100
2022-12-20,00:16:29,100
2022-12-20,00:16:31,100
2022-12-20,00:16:31,100
2022-12-20,00:16:33,100
2022-12-20,00:16:33,100
2022-12-20,00:16:34,100
2022-12-20,00:16:36,99
2022-12-20,00:16:36,99
2022-12-20,00:16:37,99
2022-12-20,00:16:38,100
2022-12-20,00:16:39,100
2022-12-20,00:16:40,100
2022-12-20,00:16:42,101
2022-12-20,00:16:42,102
2022-12-20,00:16:43,101
2022-12-20,00:16:45,100
2022-12-20,00:16:45,100
2022-12-20,00:16:46,98
2022-12-20,00:16:48,98
2022-12-20,00:16:48,97
2022-12-20,00:16:49,97
2022-12-20,00:16:51,97
2022-12-20,00:16:53,98
2022-12-20,00:16:53,99
2022-12-20,00:16:53,99
2022-12-20,00:16:55,100
2022-12-20,00:16:56,100
2022-12-20,00:16:57,100
2022-12-20,00:16:57,100
2022-12-20,00:16:58,99
2022-12-20,00:16:59,99
2022-12-20,00:17:01,98
2022-12-20,00:17:02,98
2022-12-20,00:17:02,98
2022-12-20,00:17:03,98
2022-12-20,00:17:04,98
2022-12-20,00:17:05,98
2022-12-20,00:17:07,99
2022-12-20,00:17:07,99
2022-12-20,00:17:08,99
2022-12-20,00:17:09,99
2022-12-20,00:17:10,99
2022-12-20,00:17:12,100
2022-12-20,00:17:13,99
2022-12-20,00:17:13,99
2022-12-20,00:17:14,99
2022-12-20,00:17:15,99
2022-12-20,00:17:16,99
2022-12-20,00:17:17,99
2022-12-20,00:17:19,99
2022-12-20,00:17:19,99
2022-12-20,00:17:20,99
2022-12-20,00:17:21,100
2022-12-20,00:17:22,100
2022-12-20,00:17:23,101
2022-12-20,00:17:25,102
2022-12-20,00:17:25,103
2022-12-20,00:17:26,103
2022-12-20,00:17:27,103
2022-12-20,00:17:28,102
2022-12-20,00:17:29,101
2022-12-20,00:17:30,99
2022-12-20,00:17:31,99
2022-12-20,00:17:33,99
2022-12-20,00:17:33,100
2022-12-20,00:17:34,100
2022-12-20,00:17:36,101
2022-12-20,00:17:37,101
2022-12-20,00:17:40,103
2022-12-20,00:17:40,103
2022-12-20,00:17:40,104
2022-12-20,00:17:42,105
2022-12-20,00:17:42,106
2022-12-20,00:17:42,107
2022-12-20,00:17:44,108
